Note,Cents
C-0,1200
C+0,1250
C#0,1300
C*0,1350
D-0,1400
D+0,1450
D#0,1500
D*0,1550
E-0,1600
E+0,1650
F-0,1700
F+0,1750
F#0,1800
F*0,1850
G-0,1900
G+0,1950
G#0,2000
G*0,2050
A-0,2100
A+0,2150
A#0,2200
A*0,2250
B-0,2300
B+0,2350
C-1,2400
C+1,2450
C#1,2500
C*1,2550
D-1,2600
D+1,2650
D#1,2700
D*1,2750
E-1,2800
E+1,2850
F-1,2900
F+1,2950
F#1,3000
F*1,3050
G-1,3100
G+1,3150
G#1,3200
G*1,3250
A-1,3300
A+1,3350
A#1,3400
A*1,3450
B-1,3500
B+1,3550
C-2,3600
C+2,3650
C#2,3700
C*2,3750
D-2,3800
D+2,3850
D#2,3900
D*2,3950
E-2,4000
E+2,4050
F-2,4100
F+2,4150
F#2,4200
F*2,4250
G-2,4300
G+2,4350
G#2,4400
G*2,4450
A-2,4500
A+2,4550
A#2,4600
A*2,4650
B-2,4700
B+2,4750
C-3,4800
C+3,4850
C#3,4900
C*3,4950
D-3,5000
D+3,5050
D#3,5100
D*3,5150
E-3,5200
E+3,5250
F-3,5300
F+3,5350
F#3,5400
F*3,5450
G-3,5500
G+3,5550
G#3,5600
G*3,5650
A-3,5700
A+3,5750
A#3,5800
A*3,5850
B-3,5900
B+3,5950
C-4,6000
C+4,6050
C#4,6100
C*4,6150
D-4,6200
D+4,6250
D#4,6300
D*4,6350
E-4,6400
E+4,6450
F-4,6500
F+4,6550
F#4,6600
F*4,6650
G-4,6700
G+4,6750
G#4,6800
G*4,6850
A-4,6900
A+4,6950
A#4,7000
A*4,7050
B-4,7100
B+4,7150
C-5,7200
C+5,7250
C#5,7300
C*5,7350
D-5,7400
D+5,7450
D#5,7500
D*5,7550
E-5,7600
E+5,7650
F-5,7700
F+5,7750
F#5,7800
F*5,7850
G-5,7900
G+5,7950
G#5,8000
G*5,8050
A-5,8100
A+5,8150
A#5,8200
A*5,8250
B-5,8300
B+5,8350
C-6,8400
C+6,8450
C#6,8500
C*6,8550
D-6,8600
D+6,8650
D#6,8700
D*6,8750
E-6,8800
E+6,8850
F-6,8900
F+6,8950
F#6,9000
F*6,9050
G-6,9100
G+6,9150
G#6,9200
G*6,9250
A-6,9300
A+6,9350
A#6,9400
A*6,9450
B-6,9500
B+6,9550
C-7,9600
C+7,9650
C#7,9700
C*7,9750
D-7,9800
D+7,9850
D#7,9900
D*7,9950
E-7,10000
E+7,10050
F-7,10100
F+7,10150
F#7,10200
F*7,10250
G-7,10300
G+7,10350
G#7,10400
G*7,10450
A-7,10500
A+7,10550
A#7,10600
A*7,10650
B-7,10700
B+7,10750
C-8,10800
C+8,10850
C#8,10900
C*8,10950
D-8,11000
D+8,11050
D#8,11100
D*8,11150
E-8,11200
E+8,11250
F-8,11300
F+8,11350
F#8,11400
F*8,11450
G-8,11500
G+8,11550
G#8,11600
G*8,11650
A-8,11700
A+8,11750
A#8,11800
A*8,11850
B-8,11900
B+8,11950
