MIDI,Note,Period
12,C-0,4095
13,C#0,4095
14,D-0,4095
15,D#0,4095
16,E-0,4095
17,F-0,4095
18,F#0,4095
19,G-0,4095
20,G#0,4095
21,A-0,4095
22,A#0,3840
23,B-0,3686
24,C-1,3456
25,C#1,3276
26,D-1,3072
27,D#1,2880
28,E-1,2730
29,F-1,2560
30,F#1,2457
31,G-1,2304
32,G#1,2184
33,A-1,2048
34,A#1,1920
35,B-1,1843
36,C-2,1728
37,C#2,1638
38,D-2,1536
39,D#2,1440
40,E-2,1365
41,F-2,1280
42,F#2,1229
43,G-2,1152
44,G#2,1092
45,A-2,1024
46,A#2,960
47,B-2,922
48,C-3,864
49,C#3,819
50,D-3,768
51,D#3,720
52,E-3,683
53,F-3,640
54,F#3,614
55,G-3,576
56,G#3,546
57,A-3,512
58,A#3,480
59,B-3,461
60,C-4,432
61,C#4,410
62,D-4,384
63,D#4,360
64,E-4,341
65,F-4,320
66,F#4,307
67,G-4,288
68,G#4,273
69,A-4,256
70,A#4,240
71,B-4,230
72,C-5,216
73,C#5,205
74,D-5,192
75,D#5,180
76,E-5,171
77,F-5,160
78,F#5,154
79,G-5,144
80,G#5,137
81,A-5,128
82,A#5,120
83,B-5,115
84,C-6,108
85,C#6,102
86,D-6,96
87,D#6,90
88,E-6,85
89,F-6,80
90,F#6,77
91,G-6,72
92,G#6,68
93,A-6,64
94,A#6,60
95,B-6,58
96,C-7,54
97,C#7,51
98,D-7,48
99,D#7,45
100,E-7,43
101,F-7,40
102,F#7,38
103,G-7,36
104,G#7,34
105,A-7,32
106,A#7,30
107,B-7,29
108,C-8,27
109,C#8,26
110,D-8,24
111,D#8,22
112,E-8,21
113,F-8,20
114,F#8,19
115,G-8,18
116,G#8,17
117,A-8,16
118,A#8,15
119,B-8,14
120,C-9,13
121,C#9,13
122,D-9,12
123,D#9,11
124,E-9,11
125,F-9,10
126,F#9,10
127,G-9,9
